video_genres,video_level,video_title,video_url,video_year
"DramaRomanceMysteryTV Series (1970–2011)
","
                    TV-PG
                        
    
, 
, 

    
            ",All My Children             ,https://www.imdb.com/title/tt0065272/,
"ComedyReality-TVSportTV Series (2012– )
","
                    
    
, 
, 

    
            ",Goalstar             ,https://www.imdb.com/title/tt2485550/,
"ActionDramaEpisode aired 5 May 2015
","
                    TV-14
                        
    
, 


    
            ",Category 5             ,https://www.imdb.com/title/tt4649310/,
"FamilyTV Special 21 September 1986
","
                    
    


    
            ",The 38th Annual Primetime Emmy Awards             ,https://www.imdb.com/title/tt1044990/,1986
"FamilyReality-TVEpisode aired 25 March 2011
","
                    TV-PG
                        
    
, 


    
            ",Episode #2.2             ,https://www.imdb.com/title/tt1868945/,
"ActionCrimeThriller23 May 1986 (USA)
","
                    R
                        
    
, 
, 

    
            ",Cobra             ,https://www.imdb.com/title/tt0090859/,1986
"ActionAdventureDramaEpisode aired 9 March 2018
","
                    TV-14
                        
    
, 
, 

    
            ",The Real Deal             ,https://www.imdb.com/title/tt7183104/,
"ComedyMusicTalk-ShowEpisode aired 18 April 2011
","
                    TV-14
                        
    
, 
, 

    
            ","On This Day, a Chump Was Born             ",https://www.imdb.com/title/tt1893589/,
"Reality-TVEpisode aired 4 March 2010
","
                    TV-14
                        
    


    
            ",New Alliances             ,https://www.imdb.com/title/tt1604476/,
"AdventureDramaThriller20 June 1975 (USA)
","
                    PG
                        
    
, 
, 

    
            ",Jaws             ,https://www.imdb.com/title/tt0073195/,1975
"CrimeDramaMystery29 September 1954 (USA)
","
                    Not Rated
                        
    
, 
, 

    
            ",The Barefoot Contessa             ,https://www.imdb.com/title/tt0046754/,1954
"DramaFantasyHorror11 May 2001 (Canada)
","
                    Not Rated
                        
    
, 
, 

    
            ",Ginger Snaps             ,https://www.imdb.com/title/tt0210070/,2000
"DramaRomanceTV Series (1960– )
","
                    TV-PG
                        
    
, 


    
            ",Coronation Street             ,https://www.imdb.com/title/tt0053494/,
"AdventureDramaFamilyTV Series (2005– )
","
                    TV-PG
                        
    
, 
, 

    
            ",Doctor Who             ,https://www.imdb.com/title/tt0436992/,
"ActionAdventureDramaEpisode airs 2019
","
                    TV-PG
                        
    
, 
, 

    
            ",Episode #6.9             ,https://www.imdb.com/title/tt8422652/,
"Talk-ShowEpisode aired 26 June 2009
","
                    
    


    
            ",Episode #13.203             ,https://www.imdb.com/title/tt1465707/,
"DocumentaryHistoryMusicEpisode aired 9 January 2001
","
                    TV-PG
                        
    
, 
, 

    
            ",The Gift: 1917-1924             ,https://www.imdb.com/title/tt1067633/,
"DocumentaryVideo 27 May 2014
","
                    
    


    
            ",At the Waterfront After the Social: The Legacy of Sleepaway Camp             ,https://www.imdb.com/title/tt3593030/,2014
"ComedyTalk-ShowEpisode aired 16 January 2017
","
                    
    
, 


    
            ",Episode #2.7             ,https://www.imdb.com/title/tt6442576/,
"TV Special 20 September 1987
","

            ",The 39th Annual Primetime Emmy Awards             ,https://www.imdb.com/title/tt1044991/,1987
"ActionReality-TVTV Series (2004– )
","
                    
    
, 


    
            ",Bridezillas             ,https://www.imdb.com/title/tt0462085/,
"ActionDramaEpisode aired 12 May 2015
","
                    TV-14
                        
    
, 


    
            ",Spartacus             ,https://www.imdb.com/title/tt4649312/,
"DocumentaryShortVideo 22 January 2019
","
                    
    
, 


    
            ",A Work of Art: An Interview with Actor Art LaFleur             ,https://www.imdb.com/title/tt9722180/,2019
"ActionAdventureDramaEpisode aired 2 March 2018
","
                    TV-14
                        
    
, 
, 

    
            ",All the Comforts of Home             ,https://www.imdb.com/title/tt7183100/,
"ActionAdventureFantasy6 May 2011 (USA)
","
                    PG-13
                        
    
, 
, 

    
            ",Thor             ,https://www.imdb.com/title/tt0800369/,2011
"Reality-TVEpisode aired 11 March 2010
","
                    TV-14
                        
    


    
            ",Dueling Labor Day Parties             ,https://www.imdb.com/title/tt1634251/,
